,week,title,artist,rank,last_week,peak_pos,weeks_on_chart
131,2020-09-05,Wishing Well,Juice WRLD,32,32,5,7
132,2020-09-05,Got What I Got,Jason Aldean,33,46,33,13
133,2020-09-05,If The World Was Ending,JP Saxe Featuring Julia Michaels,34,48,34,22
134,2020-09-05,Life Is Good,Future Featuring Drake,35,31,2,33
135,2020-09-05,Cardigan,Taylor Swift,36,33,1,5
136,2020-09-05,One Margarita,Luke Bryan,37,30,19,17
137,2020-09-05,7 Summers,Morgan Wallen,38,6,6,2
138,2020-09-05,Cool Again,Kane Brown,39,39,39,13
139,2020-09-05,I Love My Country,Florida Georgia Line,40,55,40,19
140,2020-09-05,Midnight Sky,Miley Cyrus,41,14,14,2
141,2020-09-05,Intentions,Justin Bieber Featuring Quavo,42,37,5,29
142,2020-09-05,Chasin' You,Morgan Wallen,43,36,16,31
143,2020-09-05,We Paid,Lil Baby & 42 Dugg,44,38,10,17
144,2020-09-05,Girls In The Hood,Megan Thee Stallion,45,42,28,9
145,2020-09-05,One Of Them Girls,Lee Brice,46,52,46,13
146,2020-09-05,Say So,Doja Cat Featuring Nicki Minaj,47,43,1,34
147,2020-09-05,The Box,Roddy Ricch,48,47,1,38
148,2020-09-05,Nobody's Love,Maroon 5,49,49,41,5
149,2020-09-05,Heather,Conan Gray,50,61,50,2
150,2020-09-05,Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",51,57,51,21
151,2020-09-05,Smile,Juice WRLD & The Weeknd,52,35,8,3
152,2020-09-05,Party Girl,StaySolidRocky,53,40,21,18
153,2020-09-05,The Bigger Picture,Lil Baby,54,51,3,11
154,2020-09-05,Rain On Me,Lady Gaga & Ariana Grande,55,44,1,14
155,2020-09-05,Like That,Doja Cat Featuring Gucci Mane,56,56,51,13
156,2020-09-05,My Future,Billie Eilish,57,54,6,4
157,2020-09-05,Said Sum,Moneybagg Yo,58,59,44,8
158,2020-09-05,I Should Probably Go To Bed,Dan + Shay,59,65,43,4
159,2020-09-05,Why We Drink,Justin Moore,60,50,50,13
160,2020-09-05,I Called Mama,Tim McGraw,61,78,61,4
161,2020-09-05,Greece,DJ Khaled Featuring Drake,62,60,8,6
162,2020-09-05,24,Money Man Featuring Lil Baby,63,71,63,2
163,2020-09-05,Bang!,AJR,64,69,64,8
164,2020-09-05,Kacey Talk,YoungBoy Never Broke Again,65,58,58,2
165,2020-09-05,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,66,66,66,2
166,2020-09-05,More Than My Hometown,Morgan Wallen,67,62,61,11
167,2020-09-05,God Whispered Your Name,Keith Urban,68,70,60,19
168,2020-09-05,Need It,Migos Featuring YoungBoy Never Broke Again,69,101,62,13
169,2020-09-05,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",70,68,63,5
170,2020-09-05,Breaking Me,Topic & A7S,71,73,71,5
171,2020-09-05,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,72,74,72,12
172,2020-09-05,Kings & Queens,Ava Max,73,76,73,3
173,2020-09-05,The Plan,Travis Scott,74,101,74,1
174,2020-09-05,Pretty Heart,Parker McCollum,75,77,75,7
175,2020-09-05,Done,Chris Janson,76,63,41,11
176,2020-09-05,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,77,84,56,5
177,2020-09-05,Some Girls,Jameson Rodgers,78,86,78,3
178,2020-09-05,Hawai,Maluma,79,101,79,1
179,2020-09-05,One Night Standards,Ashley McBryde,80,80,76,12
180,2020-09-05,Caramelo,Ozuna,81,92,81,2
181,2020-09-05,ily,surf mesa Featuring Emilee,82,81,72,14
182,2020-09-05,Martin & Gina,Polo G,83,83,61,4
183,2020-09-05,Dollaz On My Head,Gunna Featuring Young Thug,84,79,38,12
184,2020-09-05,The 1,Taylor Swift,85,67,4,5
185,2020-09-05,My Ex's Best Friend,Machine Gun Kelly X blackbear,86,101,82,2
186,2020-09-05,Girl Of My Dreams,Rod Wave,87,75,65,15
187,2020-09-05,After Party,Don Toliver,88,88,57,18
188,2020-09-05,Stuck With U,Ariana Grande & Justin Bieber,89,90,1,16
189,2020-09-05,All In,YoungBoy Never Broke Again,90,101,90,1
190,2020-09-05,Got It On Me,Pop Smoke,91,85,31,8
191,2020-09-05,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,92,89,43,10
192,2020-09-05,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,93,94,93,3
193,2020-09-05,Lonely If You Are,Chase Rice,94,100,94,2
194,2020-09-05,You Broke Me First.,Tate McRae,95,101,95,1
195,2020-09-05,Spicy,Nas Featuring Fivio Foreign & A$AP Ferg,96,101,96,1
196,2020-09-05,Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,97,93,10,7
197,2020-09-05,Exile,Taylor Swift Featuring Bon Iver,98,82,6,5
198,2020-09-05,B*tch From da Souf,Mulatto,99,95,95,3
199,2020-09-05,21,Polo G,100,99,62,8
200,2020-08-29,WAP,Cardi B Featuring Megan Thee Stallion,1,1,1,2
201,2020-08-29,Laugh Now Cry Later,Drake Featuring Lil Durk,2,101,2,1
202,2020-08-29,Rockstar,DaBaby Featuring Roddy Ricch,3,2,1,18
203,2020-08-29,Blinding Lights,The Weeknd,4,3,1,38
204,2020-08-29,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",5,4,2,28
205,2020-08-29,7 Summers,Morgan Wallen,6,101,6,1
206,2020-08-29,Watermelon Sugar,Harry Styles,7,5,1,22
207,2020-08-29,Roses,SAINt JHN,8,6,4,22
208,2020-08-29,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,9,7,7,10
209,2020-08-29,I Hope,Gabby Barrett,10,11,10,34
210,2020-08-29,Go Crazy,Chris Brown & Young Thug,11,9,9,15
211,2020-08-29,Before You Go,Lewis Capaldi,12,10,10,29
212,2020-08-29,Break My Heart,Dua Lipa,13,13,13,21
213,2020-08-29,Midnight Sky,Miley Cyrus,14,101,14,1
214,2020-08-29,Adore You,Harry Styles,15,14,6,37
215,2020-08-29,Circles,Post Malone,16,15,1,51
216,2020-08-29,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,17,20,6,7
217,2020-08-29,Come & Go,Juice WRLD x Marshmello,18,18,2,6
218,2020-08-29,Mood Swings,Pop Smoke Featuring Lil Tjay,19,17,17,7
219,2020-08-29,Savage,Megan Thee Stallion Featuring Beyonce,20,16,1,23
220,2020-08-29,Popstar,DJ Khaled Featuring Drake,21,23,3,5
221,2020-08-29,Rags2Riches,Rod Wave Featuring ATR Son Son,22,12,12,8
222,2020-08-29,Death Bed,Powfu Featuring beabadoobee,23,25,23,23
223,2020-08-29,Blueberry Faygo,Lil Mosey,24,19,8,28
224,2020-08-29,Die From A Broken Heart,Maddie & Tae,25,22,22,19
225,2020-08-29,Mood,24kGoldn Featuring iann dior,26,84,26,2
226,2020-08-29,Don't Start Now,Dua Lipa,27,26,2,42
227,2020-08-29,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,28,29,11,7
228,2020-08-29,The Bones,Maren Morris,29,28,12,48
229,2020-08-29,One Margarita,Luke Bryan,30,21,19,16
230,2020-08-29,Life Is Good,Future Featuring Drake,31,30,2,32
231,2020-08-29,Wishing Well,Juice WRLD,32,27,5,6
232,2020-08-29,Cardigan,Taylor Swift,33,24,1,4
233,2020-08-29,Be Like That,Kane Brown With Swae Lee & Khalid,34,37,34,6
234,2020-08-29,Smile,Juice WRLD & The Weeknd,35,8,8,2
235,2020-08-29,Chasin' You,Morgan Wallen,36,38,16,30
236,2020-08-29,Intentions,Justin Bieber Featuring Quavo,37,31,5,28
237,2020-08-29,We Paid,Lil Baby & 42 Dugg,38,32,10,16
238,2020-08-29,Cool Again,Kane Brown,39,40,39,12
239,2020-08-29,Party Girl,StaySolidRocky,40,34,21,17
240,2020-08-29,Tap In,Saweetie,41,44,41,6
241,2020-08-29,Girls In The Hood,Megan Thee Stallion,42,35,28,8
242,2020-08-29,Say So,Doja Cat Featuring Nicki Minaj,43,33,1,33
243,2020-08-29,Rain On Me,Lady Gaga & Ariana Grande,44,36,1,13
244,2020-08-29,Emotionally Scarred,Lil Baby,45,45,31,25
245,2020-08-29,Got What I Got,Jason Aldean,46,47,46,12
246,2020-08-29,The Box,Roddy Ricch,47,42,1,37
247,2020-08-29,If The World Was Ending,JP Saxe Featuring Julia Michaels,48,48,48,21
248,2020-08-29,Nobody's Love,Maroon 5,49,41,41,4
249,2020-08-29,Why We Drink,Justin Moore,50,52,50,12
250,2020-08-29,The Bigger Picture,Lil Baby,51,46,3,10
251,2020-08-29,One Of Them Girls,Lee Brice,52,59,52,12
252,2020-08-29,Lovin' On You,Luke Combs,53,56,53,8
253,2020-08-29,My Future,Billie Eilish,54,39,6,3
254,2020-08-29,I Love My Country,Florida Georgia Line,55,53,48,18
255,2020-08-29,Like That,Doja Cat Featuring Gucci Mane,56,54,51,12
256,2020-08-29,Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",57,63,57,20
257,2020-08-29,Kacey Talk,YoungBoy Never Broke Again,58,101,58,1
258,2020-08-29,Said Sum,Moneybagg Yo,59,57,44,7
259,2020-08-29,Greece,DJ Khaled Featuring Drake,60,58,8,5
260,2020-08-29,Heather,Conan Gray,61,101,61,1
261,2020-08-29,More Than My Hometown,Morgan Wallen,62,67,61,10
262,2020-08-29,Done,Chris Janson,63,49,41,10
263,2020-08-29,Bluebird,Miranda Lambert,64,55,26,20
264,2020-08-29,I Should Probably Go To Bed,Dan + Shay,65,60,43,3
265,2020-08-29,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,66,101,66,1
266,2020-08-29,The 1,Taylor Swift,67,50,4,4
267,2020-08-29,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",68,64,63,4
268,2020-08-29,Bang!,AJR,69,69,69,7
269,2020-08-29,God Whispered Your Name,Keith Urban,70,66,60,18
270,2020-08-29,24,Money Man Featuring Lil Baby,71,101,71,1
271,2020-08-29,Toosie Slide,Drake,72,68,1,20
272,2020-08-29,Breaking Me,Topic & A7S,73,72,72,4
273,2020-08-29,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,74,81,74,11
274,2020-08-29,Girl Of My Dreams,Rod Wave,75,65,65,14
275,2020-08-29,Kings & Queens,Ava Max,76,73,73,2
276,2020-08-29,Pretty Heart,Parker McCollum,77,77,77,6
277,2020-08-29,I Called Mama,Tim McGraw,78,89,78,3
278,2020-08-29,Dollaz On My Head,Gunna Featuring Young Thug,79,74,38,11
279,2020-08-29,One Night Standards,Ashley McBryde,80,76,76,11
280,2020-08-29,ily,surf mesa Featuring Emilee,81,78,72,13
281,2020-08-29,Exile,Taylor Swift Featuring Bon Iver,82,61,6,4
282,2020-08-29,Martin & Gina,Polo G,83,101,61,3
283,2020-08-29,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,84,87,56,4
284,2020-08-29,Got It On Me,Pop Smoke,85,75,31,7
285,2020-08-29,Some Girls,Jameson Rodgers,86,92,86,2
286,2020-08-29,Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul",87,70,62,11
287,2020-08-29,After Party,Don Toliver,88,90,57,17
288,2020-08-29,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,89,94,43,9
289,2020-08-29,Stuck With U,Ariana Grande & Justin Bieber,90,79,1,15
290,2020-08-29,Conversations,Juice WRLD,91,83,7,6
291,2020-08-29,Caramelo,Ozuna,92,101,92,1
292,2020-08-29,Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,93,80,10,6
293,2020-08-29,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,94,93,93,2
294,2020-08-29,B*tch From da Souf,Mulatto,95,95,95,2
295,2020-08-29,Righteous,Juice WRLD,96,91,11,16
296,2020-08-29,Past Life,Trevor Daniel x Selena Gomez,97,98,77,5
297,2020-08-29,Something Special,Pop Smoke,98,88,41,7
298,2020-08-29,21,Polo G,99,101,62,7
299,2020-08-29,Lonely If You Are,Chase Rice,100,101,100,1
